movie_name,released_yr,ratings,certificate,run time,metascore,genre,votes
Zack Snyder's Justice League,2021,8.1,R,242 min,54        ,"
Action, Adventure, Fantasy            ","306,300"
Aspirants,2021– ,9.2,not available,45 min,not available,"
Drama            ","271,868"
WandaVision,2021,8.1,TV-PG,350 min,not available,"
Action, Comedy, Drama            ","185,659"
Radhe,2021,1.8,TV-MA,135 min,not available,"
Action, Crime, Thriller            ","163,440"
Godzilla vs. Kong,2021,6.4,PG-13,113 min,59        ,"
Action, Sci-Fi, Thriller            ","145,698"
Army of the Dead,2021,5.8,R,148 min,57        ,"
Action, Crime, Horror            ","121,554"
The Falcon and the Winter Soldier,2021,7.4,TV-14,50 min,not available,"
Action, Adventure, Drama            ","118,084"
Mortal Kombat,2021,6.2,R,110 min,44        ,"
Action, Adventure, Fantasy            ","117,203"
Nobody,I 2021,7.4,R,92 min,64        ,"
Action, Crime, Drama            ","109,680"
Raya and the Last Dragon,2021,7.4,PG,107 min,75        ,"
Animation, Action, Adventure            ","85,601"
Cruella,2021,7.4,PG-13,134 min,59        ,"
Comedy, Crime            ","77,024"
Lupin,2021– ,7.5,TV-MA,45 min,not available,"
Action, Crime, Drama            ","74,628"
Invincible,2021– ,8.8,TV-MA,364 min,not available,"
Animation, Action, Adventure            ","68,953"
Wrath of Man,2021,7.2,R,119 min,57        ,"
Action, Crime, Thriller            ","64,529"
The Little Things,2021,6.3,R,128 min,54        ,"
Crime, Drama, Thriller            ","63,785"
Mare of Easttown,2021,8.5,TV-MA,410 min,not available,"
Crime, Drama, Mystery            ","62,267"
The Mitchells vs the Machines,2021,7.7,PG,113 min,80        ,"
Animation, Adventure, Comedy            ","62,004"
Master,2021,7.9,Not Rated,179 min,not available,"
Action, Thriller            ","60,158"
Coming 2 America,2021,5.3,PG-13,110 min,52        ,"
Comedy            ","58,394"
The Dig,2021,7.1,PG-13,112 min,73        ,"
Biography, Drama, History            ","57,996"
Tandav,2021– ,3.7,TV-14,30 min,not available,"
Drama, Thriller            ","55,376"
Shadow and Bone,2021– ,7.8,TV-14,not available,not available,"
Action, Adventure, Drama            ","55,316"
The Conjuring: The Devil Made Me Do It,2021,6.4,R,112 min,53        ,"
Horror, Mystery, Thriller            ","54,394"
 Attack on Titan,2013–2021,9.9,TV-MA,24 min,not available,"
Animation, Action, Adventure            ","54,311"
Judas and the Black Messiah,2021,7.5,R,126 min,85        ,"
Biography, Drama, History            ","51,715"
The Woman in the Window,2021,5.7,R,100 min,41        ,"
Crime, Drama, Mystery            ","51,703"
The White Tiger,2021,7.1,R,125 min,76        ,"
Crime, Drama            ","50,426"
Loki,2021– ,8.9,TV-14,not available,not available,"
Action, Adventure, Fantasy            ","47,939"
The One Where They Get Back Together,2021 TV Special,8.1,TV-14,104 min,not available,"
Comedy, Romance            ","45,670"
Behind Her Eyes,2021,7.2,TV-MA,298 min,not available,"
Drama, Mystery, Thriller            ","45,326"
Tom Clancy's Without Remorse,2021,5.8,R,109 min,41        ,"
Action, Thriller, War            ","42,248"
 Attack on Titan,2013–2021,9.9,TV-MA,24 min,not available,"
Animation, Action, Adventure            ","39,836"
 Attack on Titan,2013–2021,9.9,TV-MA,24 min,not available,"
Animation, Action, Adventure            ","38,151"
Outside the Wire,2021,5.4,R,114 min,45        ,"
Action, Adventure, Fantasy            ","36,357"
Luca,2021,7.6,PG,95 min,71        ,"
Animation, Adventure, Comedy            ","35,958"
Stowaway,2021,5.6,TV-MA,116 min,63        ,"
Drama, Sci-Fi, Thriller            ","34,885"
Thunder Force,2021,4.4,PG-13,106 min,34        ,"
Action, Adventure, Comedy            ","34,308"
Those Who Wish Me Dead,2021,6.0,R,100 min,59        ,"
Action, Drama, Thriller            ","33,909"
Ginny & Georgia,2021– ,7.5,TV-14,not available,not available,"
Comedy, Drama            ","33,578"
Boss Level,2021,6.9,TV-MA,94 min,56        ,"
Action, Mystery, Sci-Fi            ","32,398"
The Serpent,2021,7.7,TV-MA,458 min,not available,"
Crime, Drama, Thriller            ","31,239"
Jupiter's Legacy,2021,6.8,TV-MA,56 min,not available,"
Action, Adventure, Drama            ","29,728"
Fate: The Winx Saga,2021– ,6.9,TV-MA,not available,not available,"
Action, Adventure, Drama            ","29,595"
Malcolm & Marie,2021,6.7,R,106 min,53        ,"
Drama, Romance            ","29,235"
The Mauritanian,2021,7.4,R,129 min,53        ,"
Drama, Thriller            ","28,537"
Drishyam 2,2021,8.7,not available,152 min,not available,"
Crime, Drama, Thriller            ","27,551"
Palmer,2021,7.3,R,110 min,53        ,"
Drama            ","25,786"
Sweet Tooth,2021– ,8.0,TV-14,not available,not available,"
Action, Adventure, Drama            ","25,313"
Tom and Jerry,2021,5.3,PG,101 min,32        ,"
Animation, Comedy, Family            ","24,901"
Oxygen,2021,6.5,TV-14,100 min,67        ,"
Drama, Fantasy, Sci-Fi            ","24,818"
Zack Snyder's Justice League,2021,8.1,R,242 min,54        ,"
Action, Adventure, Fantasy            ","306,300"
Aspirants,2021– ,9.2,not available,45 min,not available,"
Drama            ","271,868"
WandaVision,2021,8.1,TV-PG,350 min,not available,"
Action, Comedy, Drama            ","185,659"
Radhe,2021,1.8,TV-MA,135 min,not available,"
Action, Crime, Thriller            ","163,440"
Godzilla vs. Kong,2021,6.4,PG-13,113 min,59        ,"
Action, Sci-Fi, Thriller            ","145,698"
Army of the Dead,2021,5.8,R,148 min,57        ,"
Action, Crime, Horror            ","121,554"
The Falcon and the Winter Soldier,2021,7.4,TV-14,50 min,not available,"
Action, Adventure, Drama            ","118,084"
Mortal Kombat,2021,6.2,R,110 min,44        ,"
Action, Adventure, Fantasy            ","117,203"
Nobody,I 2021,7.4,R,92 min,64        ,"
Action, Crime, Drama            ","109,680"
Raya and the Last Dragon,2021,7.4,PG,107 min,75        ,"
Animation, Action, Adventure            ","85,601"
Cruella,2021,7.4,PG-13,134 min,59        ,"
Comedy, Crime            ","77,024"
Lupin,2021– ,7.5,TV-MA,45 min,not available,"
Action, Crime, Drama            ","74,628"
Invincible,2021– ,8.8,TV-MA,364 min,not available,"
Animation, Action, Adventure            ","68,953"
Wrath of Man,2021,7.2,R,119 min,57        ,"
Action, Crime, Thriller            ","64,529"
The Little Things,2021,6.3,R,128 min,54        ,"
Crime, Drama, Thriller            ","63,785"
Mare of Easttown,2021,8.5,TV-MA,410 min,not available,"
Crime, Drama, Mystery            ","62,267"
The Mitchells vs the Machines,2021,7.7,PG,113 min,80        ,"
Animation, Adventure, Comedy            ","62,004"
Master,2021,7.9,Not Rated,179 min,not available,"
Action, Thriller            ","60,158"
Coming 2 America,2021,5.3,PG-13,110 min,52        ,"
Comedy            ","58,394"
The Dig,2021,7.1,PG-13,112 min,73        ,"
Biography, Drama, History            ","57,996"
Tandav,2021– ,3.7,TV-14,30 min,not available,"
Drama, Thriller            ","55,376"
Shadow and Bone,2021– ,7.8,TV-14,not available,not available,"
Action, Adventure, Drama            ","55,316"
The Conjuring: The Devil Made Me Do It,2021,6.4,R,112 min,53        ,"
Horror, Mystery, Thriller            ","54,394"
 Attack on Titan,2013–2021,9.9,TV-MA,24 min,not available,"
Animation, Action, Adventure            ","54,311"
Judas and the Black Messiah,2021,7.5,R,126 min,85        ,"
Biography, Drama, History            ","51,715"
The Woman in the Window,2021,5.7,R,100 min,41        ,"
Crime, Drama, Mystery            ","51,703"
The White Tiger,2021,7.1,R,125 min,76        ,"
Crime, Drama            ","50,426"
Loki,2021– ,8.9,TV-14,not available,not available,"
Action, Adventure, Fantasy            ","47,939"
The One Where They Get Back Together,2021 TV Special,8.1,TV-14,104 min,not available,"
Comedy, Romance            ","45,670"
Behind Her Eyes,2021,7.2,TV-MA,298 min,not available,"
Drama, Mystery, Thriller            ","45,326"
Tom Clancy's Without Remorse,2021,5.8,R,109 min,41        ,"
Action, Thriller, War            ","42,248"
 Attack on Titan,2013–2021,9.9,TV-MA,24 min,not available,"
Animation, Action, Adventure            ","39,836"
